comparison_group,algorithm,search,heuristic,part1_section,part1_size,part1_status,part1_solved,part1_search_time_s,part1_plan_length,part1_problem_file,part2_section,part2_size,part2_status,part2_solved,part2_search_time_s,part2_plan_length,part2_problem_file,delta_search_time_s,delta_search_time_pct,delta_plan_length,comparison_note
1.3.2_vs_2.1.2,EHC,ehs,hadd,1.3.2,7,solved,yes,0.4400,27,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.1400,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.3000,-68.1818,-12,ok
1.3.2_vs_2.1.2,EHC,ehs,hff,1.3.2,7,solved,yes,0.1600,25,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.1000,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.0600,-37.5000,-10,ok
1.3.2_vs_2.1.2,EHC,ehs,hmax,1.3.2,7,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,1.7000,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,,,,part1_status=timeout;time_not_comparable;plan_not_comparable
1.3.2_vs_2.1.2,EHC,ehs,landmark,1.3.2,7,solved,yes,0.1200,34,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.0066,18,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.1134,-94.5000,-16,ok
1.3.2_vs_2.1.2,GBFS,gbf,hadd,1.3.2,7,solved,yes,0.1300,27,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.0600,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.0700,-53.8462,-12,ok
1.3.2_vs_2.1.2,GBFS,gbf,hff,1.3.2,7,solved,yes,0.2100,23,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.0540,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.1560,-74.2857,-8,ok
1.3.2_vs_2.1.2,GBFS,gbf,hmax,1.3.2,7,solved,yes,2.9000,26,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,2.7000,18,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.2000,-6.8966,-8,ok
1.3.2_vs_2.1.2,GBFS,gbf,landmark,1.3.2,7,solved,yes,0.0220,28,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l7_p7_c7_g7_ct2.pddl,2.1.2,4,solved,yes,0.0056,17,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,-0.0164,-74.5455,-11,ok
1.3.3_vs_2.1.3,A*+hMAX,astar,hmax,1.3.3,5,solved,yes,1.4000,16,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l5_p5_c5_g5_ct2.pddl,2.1.3,4,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,,,,part2_status=timeout;time_not_comparable;plan_not_comparable
1.3.3_vs_2.1.3,A*+lmcut,astar,lmcut,1.3.3,5,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l5_p5_c5_g5_ct2.pddl,2.1.3,4,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,,,,part1_status=timeout;part2_status=timeout;time_not_comparable;plan_not_comparable
1.3.3_vs_2.1.3,BFS,bfs,-,1.3.3,5,solved,yes,0.7300,16,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l5_p5_c5_g5_ct2.pddl,2.1.3,4,solved,yes,0.9800,15,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,0.2500,34.2466,-1,ok
1.3.3_vs_2.1.3,IDS,ids,-,1.3.3,5,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte1/results/problems/drone_problem_d1_r0_l5_p5_c5_g5_ct2.pddl,2.1.3,4,timeout,no,,,/mnt/c/Users/05jan/Desktop/Tareas/Uni/3_Curso/2_cuatri/Planificacion automatica/Lab/PL1/Planning-practice/parte2/results/problems/drone_problem_ex1_d1_r1_l4_p4_c4_g4_a4.pddl,,,,part1_status=timeout;part2_status=timeout;time_not_comparable;plan_not_comparable
